id,educ,peduc,kids,agem,rural
5327,2,5,4,23,0
5328,15,15,2,22,0
5329,8,3,1,29,0
5330,15,15,1,28,0
5331,0,7,4,14,0
5332,0,2,3,20,0
5333,0,0,4,16,0
5334,2,12,3,18,0
5335,12,12,2,16,0
5336,0,4,8,16,0
5337,12,12,2,25,0
5338,0,4,5,14,0
5339,2,0,4,23,0
5340,0,0,3,17,0
5341,4,17,3,19,0
5342,0,8,1,23,0
5343,0,2,2,12,0
5344,0,5,3,13,0
5345,0,9,7,12,0
5346,0,0,1,17,0
5347,3,3,4,16,0
5348,0,8,3,16,0
5349,9,5,2,18,0
5350,3,8,1,18,0
5351,15,17,1,29,0
5352,15,15,0,31,0
5353,9,12,4,18,0
5354,5,7,0,16,0
5355,5,5,3,20,0
5356,6,0,4,20,0
5357,1,6,0,16,1
5358,6,7,5,13,1
5359,0,0,8,12,1
5360,0,0,7,21,1
5361,0,0,6,19,1
5362,0,0,7,14,1
5363,0,9,2,24,1
5364,0,0,0,18,1
5365,0,6,0,18,1
5366,0,0,3,25,1
5367,6,8,1,27,1
5368,7,0,0,17,1
5369,1,3,10,13,1
5370,0,0,2,25,1
5371,4,0,3,16,1
5372,0,7,4,15,1
5373,0,0,2,17,1
5374,9,8,2,17,1
5375,5,8,2,20,1
5376,15,9,3,20,1
5377,0,8,3,17,1
5378,0,8,2,17,1
5379,0,0,3,14,1
5380,5,10,4,14,1
5381,15,17,2,21,1
5382,0,0,3,15,1
5383,0,0,4,12,1
5384,0,0,1,15,1
5385,0,0,3,15,1
5386,9,7,2,18,1
5387,10,12,3,24,1
5388,0,0,4,15,1
5389,4,4,0,14,1
5390,0,8,8,14,1
5391,3,3,2,14,1
5392,0,0,6,13,1
5393,0,6,3,21,1
5394,6,8,1,16,1
5395,0,2,10,14,1
5396,1,5,3,17,1
5397,4,4,2,13,1
5398,0,0,8,17,1
5399,0,4,0,20,1
5400,4,7,5,13,1
5401,0,15,5,20,1
5402,8,10,5,18,1
5403,0,4,1,16,1
5404,10,12,1,14,1
5405,0,5,3,21,1
5406,0,0,2,17,1
5407,0,6,5,21,1
5408,0,1,1,15,1
5409,0,6,6,20,1
5410,0,10,3,16,1
5411,3,3,3,19,1
5412,0,3,7,16,1
5413,0,9,8,16,1
5414,0,0,6,19,1
5415,7,4,1,16,1
5416,0,2,4,28,1
5417,0,5,5,25,1
5418,0,0,6,20,1
5419,2,6,2,16,1
5420,0,2,4,22,1
5421,0,0,5,21,1
5422,0,0,5,27,1
5423,0,0,7,17,1
5424,17,15,0,31,1
5425,0,0,4,16,1
5426,15,17,4,23,1
5427,9,9,5,16,1
5428,10,0,1,18,1
5429,8,12,4,17,1
5430,10,12,2,16,1
5431,8,10,3,15,1
5432,0,8,2,17,1
5433,0,0,3,17,1
5434,0,0,1,22,1
5435,0,8,2,20,1
5436,1,0,1,19,1
5437,0,3,3,17,1
5438,5,0,0,24,1
5439,6,8,1,21,1
5440,9,9,0,19,1
5441,7,9,2,14,1
5442,0,0,8,17,1
5443,9,10,0,17,1
5444,8,10,0,14,0
5445,12,15,0,26,0
5446,0,6,3,15,0
5447,12,13,0,18,0
5448,10,10,3,18,0
5449,0,0,3,14,0
5450,5,2,0,17,0
5451,5,3,3,24,0
5452,11,11,0,18,0
5453,9,12,2,16,0
5454,0,8,2,15,0
5455,9,12,3,15,0
5456,12,15,1,27,0
5457,8,13,0,18,0
5458,12,10,1,26,0
5459,15,13,0,20,0
5460,12,11,2,18,0
5461,0,0,6,15,0
5462,3,7,5,17,0
5463,15,17,2,19,0
5464,12,10,1,23,0
5465,0,9,2,12,0
5466,2,8,2,14,1
5467,7,7,2,17,1
5468,0,8,6,14,1
5469,7,8,1,16,1
5470,0,0,3,15,1
5471,12,17,2,24,1
5472,9,9,1,17,1
5473,12,15,2,22,1
5474,0,0,10,16,1
5475,4,0,5,14,1
5476,7,12,4,18,1
5477,4,11,2,18,1
5478,0,2,2,15,1
5479,12,9,2,16,1
5480,0,0,4,14,1
5481,0,0,5,13,1
5482,8,9,2,14,1
5483,11,9,2,17,1
5484,0,0,5,13,1
5485,1,0,2,14,1
5486,7,15,4,15,1
5487,0,0,8,13,1
5488,8,9,3,17,1
5489,0,0,6,14,1
5490,0,0,4,16,1
5491,0,6,2,18,1
5492,10,9,1,18,1
5493,3,4,2,18,1
5494,0,8,5,16,1
5495,11,9,3,25,1
5496,0,0,0,17,1
5497,3,7,6,16,1
5498,5,0,1,17,1
5499,0,0,3,19,1
5500,2,1,3,23,1
5501,0,0,3,14,1
5502,0,9,8,15,1
5503,9,9,3,20,1
5504,0,6,0,18,1
5505,8,9,2,21,1
5506,0,8,1,17,1
5507,8,12,0,18,1
5508,7,11,6,14,0
5509,0,0,4,23,0
5510,9,15,1,18,0
5511,8,10,1,23,0
5512,0,12,3,20,0
5513,0,5,5,17,0
5514,0,8,2,14,0
5515,4,8,0,16,0
5516,0,7,8,14,0
5517,3,9,3,13,0
5518,4,8,1,15,0
5519,5,9,2,13,0
5520,0,15,3,18,0
5521,0,15,1,22,0
5522,0,0,3,14,0
5523,4,11,1,14,0
5524,7,12,1,18,0
5525,0,9,5,17,0
5526,7,0,2,17,0
5527,8,9,0,16,0
5528,0,10,4,13,0
5529,8,15,3,19,0
5530,12,7,2,20,0
5531,15,15,1,25,0
5532,6,9,0,24,0
5533,0,5,5,13,0
5534,4,11,1,13,0
5535,0,0,10,17,0
5536,0,0,6,17,1
5537,9,9,4,15,1
5538,9,17,1,14,1
5539,6,8,2,19,1
5540,8,7,0,19,1
5541,6,6,6,13,1
5542,9,8,1,20,1
5543,0,5,9,15,1
5544,0,15,4,16,1
5545,0,9,5,18,1
5546,9,12,0,19,1
5547,6,6,2,15,1
5548,6,8,2,15,0
5549,0,9,3,16,0
5550,9,12,1,24,0
5551,3,8,3,16,0
5552,3,5,6,14,0
5553,7,6,0,21,0
5554,7,12,1,16,0
5555,9,9,2,14,0
5556,0,6,6,13,0
5557,8,5,2,17,0
5558,0,0,4,20,0
5559,0,0,3,20,0
5560,5,12,2,19,0
5561,0,3,0,21,1
5562,3,6,0,22,1
5563,0,7,5,13,1
5564,5,5,2,22,1
5565,5,7,3,19,1
5566,3,5,4,15,1
5567,0,2,5,22,1
5568,0,4,3,14,1
5569,1,0,7,13,1
5570,0,0,6,25,1
5571,0,3,5,16,1
5572,0,2,5,12,1
5573,0,0,6,19,1
5574,9,12,1,16,1
5575,16,10,3,21,1
5576,10,15,2,13,1
5577,4,0,3,15,1
5578,0,7,3,14,1
5579,12,10,0,19,1
5580,12,15,0,27,1
5581,7,0,3,20,1
5582,3,9,4,12,1
5583,15,15,2,15,1
5584,7,9,2,16,1
5585,5,0,2,17,1
5586,0,9,3,12,1
5587,0,7,2,19,1
5588,5,10,3,13,0
5589,4,10,1,25,0
5590,16,12,2,19,0
5591,8,10,5,18,0
5592,15,15,3,19,0
5593,16,15,1,25,0
5594,12,15,1,18,0
5595,7,9,2,17,0
5596,7,12,0,17,0
5597,12,10,2,17,0
5598,10,16,6,15,0
5599,12,15,2,25,0
5600,12,17,2,25,0
5601,12,15,2,22,0
5602,9,13,3,17,0
5603,0,4,1,16,0
5604,0,0,4,12,0
5605,15,15,1,23,0
5606,11,12,0,25,0
5607,0,4,5,12,0
5608,5,5,2,18,0
5609,8,7,1,14,0
5610,0,5,6,13,1
5611,0,0,4,14,1
5612,0,7,3,12,1
5613,0,3,8,16,1
5614,0,9,4,19,1
5615,2,9,6,15,1
5616,0,5,4,21,1
5617,5,12,3,22,1
5618,7,9,4,22,1
5619,0,4,1,17,1
5620,0,0,4,18,1
5621,0,0,2,14,1
5622,0,5,3,15,1
5623,9,15,3,16,1
5624,0,0,2,33,1
5625,0,0,1,17,1
5626,2,2,3,18,1
5627,8,0,2,25,1
5628,0,2,3,18,1
5629,6,13,1,16,1
5630,0,9,4,17,1
5631,0,0,5,16,1
5632,0,0,2,13,1
5633,0,0,4,17,1
5634,0,9,9,17,1
5635,9,9,2,18,1
5636,4,0,1,23,1
5637,6,9,2,16,1
5638,9,15,4,19,1
5639,0,0,3,17,1
5640,0,3,1,26,1
5641,15,16,1,22,1
5642,8,11,3,20,1
5643,0,0,8,14,1
5644,0,0,3,18,1
5645,0,0,2,14,1
5646,0,0,5,18,1
5647,0,0,3,13,1
5648,0,10,4,22,1
5649,0,0,3,20,1
5650,0,0,4,22,1
5651,3,2,3,16,1
5652,0,0,1,18,1
5653,0,9,10,17,1
5654,0,0,3,22,1
5655,0,0,2,18,1
5656,0,0,4,18,1
5657,0,0,5,21,1
5658,0,0,6,16,1
5659,0,0,1,17,1
5660,0,0,5,17,1
5661,0,0,8,17,1
5662,0,0,3,27,1
5663,0,0,3,34,1
5664,0,1,2,13,0
5665,0,4,3,15,0
5666,7,9,0,18,0
5667,0,0,7,16,0
5668,0,7,3,12,0
5669,0,8,1,16,0
5670,4,1,4,14,0
5671,0,6,3,20,0
5672,0,4,6,15,0
5673,0,5,4,14,0
5674,0,0,5,14,0
5675,0,7,3,13,0
5676,0,0,3,16,0
5677,0,0,3,16,0
5678,0,3,7,22,0
5679,0,3,5,17,0
5680,0,3,0,16,0
5681,0,1,6,21,0
5682,0,0,2,14,0
5683,9,12,1,20,0
5684,12,15,1,23,0
5685,6,7,3,14,0
5686,14,15,0,30,0
5687,9,15,0,20,0
5688,7,9,1,14,0
5689,8,3,1,15,0
5690,10,10,4,19,0
5691,0,5,4,20,0
5692,8,12,1,17,0
5693,9,9,1,26,0
5694,15,14,1,22,0
5695,5,6,1,17,0
5696,0,0,3,25,1
5697,0,0,1,19,1
5698,0,0,4,16,1
5699,0,5,2,22,1
5700,5,9,1,23,1
5701,4,4,5,15,1
5702,5,7,4,15,1
5703,0,5,3,22,1
5704,2,0,6,15,1
5705,0,5,3,25,1
5706,0,0,3,18,1
5707,15,0,2,28,1
5708,0,8,7,20,1
5709,5,7,2,15,1
5710,2,0,8,16,1
5711,8,5,6,13,1
5712,0,3,7,14,1
5713,4,8,3,18,1
5714,0,0,3,14,1
5715,2,7,6,13,1
5716,0,4,6,15,1
5717,0,0,5,17,1
5718,5,10,4,21,1
5719,7,9,1,16,1
5720,1,0,6,13,1
5721,9,12,1,20,1
5722,0,0,6,22,1
5723,17,15,0,28,1
5724,0,0,4,15,1
5725,2,3,4,13,1
5726,0,0,5,13,1
5727,0,0,2,15,1
5728,0,9,3,15,1
5729,9,9,2,16,1
5730,0,6,4,16,1
5731,0,0,7,18,1
5732,6,5,3,14,1
5733,0,6,1,16,1
5734,9,7,6,20,1
5735,0,5,0,15,1
5736,7,4,4,19,1
5737,7,12,2,18,1
5738,0,5,3,17,1
5739,17,16,2,26,0
5740,10,10,2,21,0
5741,15,17,2,21,0
5742,15,15,2,21,0
5743,0,0,1,29,0
5744,9,8,2,14,0
5745,10,15,3,15,0
5746,9,3,2,16,0
5747,15,15,2,25,0
5748,15,16,1,23,0
5749,4,11,0,22,0
5750,12,16,2,21,0
5751,15,17,1,20,0
5752,0,0,0,20,0
5753,15,15,3,24,0
5754,9,0,3,19,0
5755,12,9,1,20,0
5756,5,6,4,21,0
5757,0,9,3,15,0
5758,15,12,3,23,0
5759,0,8,0,19,0
5760,3,0,1,20,0
5761,12,15,0,22,0
5762,4,6,4,13,0
5763,6,8,2,14,0
5764,12,15,2,23,0
5765,14,15,0,21,0
5766,6,8,3,17,0
5767,0,8,3,26,0
5768,0,12,4,19,1
5769,13,10,0,20,1
5770,10,13,2,14,1
5771,6,2,1,17,1
5772,8,3,3,16,1
5773,10,11,1,17,1
5774,10,10,2,14,1
5775,0,0,2,14,1
5776,0,0,3,21,1
5777,0,8,4,16,1
5778,0,0,1,32,1
5779,5,7,3,12,1
5780,7,9,3,24,1
5781,5,6,3,21,1
5782,0,0,5,15,1
5783,3,9,4,12,1
5784,0,0,3,24,0
5785,12,15,2,27,0
5786,2,12,5,15,0
5787,0,5,5,17,0
5788,7,15,1,20,0
5789,12,15,2,25,0
5790,0,0,0,23,0
5791,7,5,4,14,0
5792,0,4,3,16,0
5793,0,0,2,17,0
5794,0,3,3,19,0
5795,5,9,1,20,0
5796,12,15,1,22,0
5797,0,5,1,13,0
5798,0,1,2,13,0
5799,15,15,3,23,0
5800,2,9,2,17,0
5801,4,0,6,13,0
5802,15,17,2,23,0
5803,10,12,2,19,0
5804,18,18,1,27,0
5805,11,10,1,21,0
5806,0,4,4,20,0
5807,8,9,0,19,0
5808,17,16,1,27,0
5809,10,15,2,27,0
5810,15,15,2,29,0
5811,12,17,2,19,0
5812,9,10,0,24,0
5813,10,16,2,19,0
5814,0,9,5,16,0
5815,5,5,3,17,0
5816,4,9,0,16,0
5817,15,16,0,28,0
5818,1,5,0,19,0
5819,9,0,1,22,0
5820,15,15,2,20,0
5821,0,10,2,18,0
5822,9,0,1,17,0
5823,17,15,2,28,0
5824,9,10,3,18,1
5825,10,9,1,28,1
5826,7,9,6,14,1
5827,5,3,5,12,1
5828,9,10,3,23,1
5829,4,9,2,21,1
5830,8,10,2,21,1
5831,9,6,2,21,1
5832,6,10,1,24,1
5833,0,2,2,22,1
5834,9,0,1,19,1
5835,6,10,1,16,1
5836,0,4,0,24,1
5837,8,10,5,17,1
5838,9,10,3,15,1
5839,0,4,4,17,1
5840,4,8,3,17,1
5841,0,0,4,23,1
5842,9,15,3,17,1
5843,9,10,0,24,1
5844,10,15,3,17,1
5845,10,9,1,26,1
5846,4,4,1,18,1
5847,1,0,4,16,1
5848,1,2,6,16,1
5849,2,8,3,21,1
5850,8,8,2,15,1
5851,4,0,3,17,1
5852,8,4,0,32,1
5853,0,7,2,19,1
5854,4,8,0,22,1
5855,4,9,4,16,1
5856,7,6,3,17,1
5857,5,7,1,21,1
5858,4,4,2,16,1
5859,0,4,6,13,1
5860,10,12,1,29,1
5861,1,1,3,17,1
5862,0,7,1,17,1
5863,4,5,3,18,1
5864,4,3,9,14,1
5865,0,7,0,14,1
5866,0,4,5,15,1
5867,5,4,5,14,1
5868,8,9,3,14,1
5869,10,10,2,19,1
5870,11,14,2,15,1
5871,10,9,0,27,1
5872,12,10,3,24,1
5873,6,9,0,13,1
5874,10,10,1,17,1
5875,9,11,2,19,1
5876,9,9,0,27,1
5877,10,4,3,23,1
5878,9,6,0,20,1
5879,13,15,1,32,1
5880,11,15,2,17,1
5881,9,12,1,19,1
5882,9,5,3,16,1
5883,12,12,1,17,1
5884,4,0,4,12,1
5885,10,15,4,19,1
5886,9,10,4,16,1
5887,11,9,1,28,1
5888,9,9,0,18,1
5889,8,11,2,18,1
5890,15,15,2,27,1
5891,11,13,3,22,1
5892,11,10,0,30,1
5893,10,12,3,14,1
5894,12,10,3,22,1
5895,14,10,0,23,1
5896,8,6,4,16,1
5897,10,14,2,14,1
5898,10,9,1,19,1
5899,3,7,1,13,1
5900,15,14,1,24,1
5901,9,12,2,16,1
5902,13,10,0,31,1
5903,12,12,2,23,1
5904,8,0,3,16,1
5905,5,12,2,22,1
5906,4,9,5,16,1
5907,7,7,4,17,1
5908,3,2,3,14,1
5909,12,15,1,22,1
5910,9,12,2,16,1
5911,2,2,3,18,1
5912,10,15,0,18,1
5913,8,0,0,17,1
5914,0,7,3,18,1
5915,0,0,2,18,1
5916,9,12,4,16,1
5917,0,3,4,17,1
5918,7,7,0,21,1
5919,10,15,4,23,1
5920,4,0,4,17,1
5921,15,15,2,28,1
5922,15,15,2,27,1
5923,18,18,0,27,1
5924,0,9,3,13,1
5925,0,0,0,20,1
5926,0,5,6,19,1
5927,0,3,3,16,1
5928,10,9,2,17,1
5929,0,0,8,21,1
5930,4,8,2,27,1
5931,5,7,2,17,1
5932,9,9,2,22,1
5933,0,0,3,18,1
5934,9,9,1,20,1
5935,0,3,2,19,1
5936,0,10,1,17,1
5937,9,9,3,18,1
5938,7,7,3,22,1
5939,9,9,2,20,1
5940,9,8,0,19,1
5941,6,9,5,15,1
5942,9,12,1,12,1
5943,4,0,3,20,1
5944,0,4,3,16,1
5945,8,9,1,22,1
5946,0,0,2,16,1
5947,12,15,2,26,1
5948,8,5,6,17,1
5949,9,12,1,16,0
5950,7,13,0,23,0
5951,0,7,1,18,0
5952,7,9,0,20,0
5953,15,15,2,28,0
5954,10,9,4,18,0
5955,8,9,2,14,0
5956,9,10,2,18,0
5957,0,0,2,14,0
5958,15,12,2,25,0
5959,4,1,5,13,0
5960,9,12,5,15,0
5961,0,0,2,14,0
5962,3,12,1,16,0
5963,3,10,4,23,0
5964,0,5,2,23,0
5965,9,10,3,14,0
5966,0,9,3,15,0
5967,0,4,5,19,0
5968,9,8,0,18,0
5969,15,12,1,21,0
5970,17,15,2,26,0
5971,6,10,1,19,0
5972,7,9,5,16,0
5973,7,8,2,13,0
5974,15,15,2,26,0
5975,11,10,0,17,0
5976,8,10,1,19,0
5977,8,10,2,17,0
5978,3,9,4,16,0
5979,0,0,0,16,0
5980,6,9,1,18,0
5981,0,6,6,15,0
5982,11,15,2,20,0
5983,15,15,2,21,0
5984,15,15,2,26,0
5985,4,11,1,18,0
5986,10,10,1,22,0
5987,12,16,2,17,0
5988,18,18,2,30,0
5989,5,10,1,22,0
5990,10,6,2,16,0
5991,15,22,2,24,0
5992,0,9,2,20,0
5993,9,9,3,22,0
5994,12,16,2,16,0
5995,0,9,0,19,0
5996,14,15,2,23,0
5997,15,18,2,24,0
5998,9,9,2,22,0
5999,15,15,1,25,0
6000,12,13,0,18,0
6001,15,15,2,23,0
6002,15,15,2,24,0
6003,17,17,1,20,0
6004,22,22,2,25,0
6005,7,5,1,16,0
6006,3,9,1,20,0
6007,0,0,7,14,0
6008,5,3,2,18,0
6009,4,7,4,15,0
6010,0,8,3,13,0
6011,5,0,5,13,0
6012,0,8,0,21,0
6013,8,5,3,14,0
6014,0,4,6,12,0
6015,0,0,4,12,0
6016,13,10,4,16,0
6017,12,10,3,22,0
6018,3,0,3,14,0
6019,0,6,3,12,0
6020,0,7,3,16,0
6021,8,9,2,14,0
6022,0,0,8,18,0
6023,7,0,1,16,0
6024,0,0,3,13,0
6025,3,10,5,15,0
6026,2,5,3,14,0
6027,0,0,4,15,0
6028,0,9,5,16,0
6029,0,9,4,12,0
6030,3,7,4,18,1
6031,4,4,1,12,1
6032,2,8,3,17,1
6033,0,0,5,21,1
6034,9,9,2,14,1
6035,12,12,2,20,1
6036,12,12,1,22,1
6037,5,5,2,19,1
6038,9,9,3,20,1
6039,4,9,3,15,1
6040,9,9,2,20,1
6041,9,9,2,17,1
6042,9,4,0,15,1
6043,5,8,3,19,1
6044,0,1,1,20,1
6045,5,8,4,24,1
6046,9,5,1,24,1
6047,0,0,3,19,1
6048,9,9,3,25,1
6049,3,3,2,14,1
6050,4,9,3,27,1
6051,9,8,2,16,1
6052,9,9,2,20,1
6053,9,9,0,22,1
6054,10,10,2,24,1
6055,3,3,1,16,1
6056,6,8,1,20,1
6057,4,8,1,17,1
6058,9,9,3,18,1
6059,9,12,2,16,1
6060,4,9,2,14,1
6061,7,7,3,17,1
6062,9,9,2,12,0
6063,5,8,3,17,0
6064,5,5,7,13,0
6065,10,15,1,19,0
6066,9,5,3,19,0
6067,7,9,2,19,0
6068,15,15,2,20,0
6069,9,9,2,18,0
6070,4,3,3,23,0
6071,9,15,3,21,0
6072,7,0,2,19,0
6073,4,6,0,29,0
6074,15,18,3,26,0
6075,9,15,1,15,0
6076,9,7,4,16,0
6077,9,4,2,18,0
6078,7,10,4,13,0
6079,12,15,1,22,0
6080,0,6,4,18,0
6081,6,4,1,16,0
6082,9,10,2,17,0
6083,9,5,3,17,0
6084,0,6,4,15,0
6085,2,9,4,16,0
6086,9,14,2,17,0
6087,8,3,1,24,0
6088,5,8,2,18,0
6089,4,4,3,16,1
6090,9,9,1,17,1
6091,0,5,2,15,1
6092,0,0,3,15,1
6093,0,4,2,18,1
6094,0,5,3,14,1
6095,3,9,3,17,1
6096,0,8,4,18,1
6097,8,9,0,16,1
6098,6,4,3,13,1
6099,0,2,5,18,1
6100,0,5,2,13,1
6101,0,0,4,16,1
6102,2,4,6,17,1
6103,9,10,1,15,1
6104,0,0,2,13,1
6105,8,8,2,15,1
6106,0,7,2,15,1
6107,4,5,4,15,1
6108,0,4,7,23,1
6109,12,15,1,21,1
6110,6,10,1,22,1
6111,0,0,2,19,1
6112,0,12,0,24,1
6113,0,2,3,15,1
6114,9,10,5,15,1
6115,10,10,4,15,1
6116,0,7,6,15,1
6117,7,5,1,19,1
6118,0,5,4,14,1
6119,2,4,2,19,1
6120,0,8,5,21,1
6121,6,9,1,25,1
6122,10,12,3,27,1
6123,9,11,2,18,1
6124,9,9,1,18,1
6125,6,11,3,25,1
6126,9,0,3,18,1
6127,2,4,1,24,1
6128,9,4,2,20,1
6129,0,2,1,22,1
6130,0,5,3,18,1
6131,6,10,3,19,1
6132,0,3,4,20,1
6133,9,11,2,17,1
6134,1,2,4,16,1
6135,6,5,4,18,1
6136,6,7,3,36,1
6137,9,9,1,27,1
6138,15,16,1,22,1
6139,4,15,3,19,1
6140,7,9,3,13,1
6141,8,9,2,20,1
6142,0,5,4,21,1
6143,8,0,7,18,1
6144,1,6,1,27,1
6145,9,11,2,19,1
6146,9,0,1,16,1
6147,10,10,2,18,1
6148,7,4,5,17,1
6149,7,11,2,15,1
6150,9,9,2,20,1
6151,10,15,3,20,1
6152,0,0,2,20,1
6153,12,15,2,25,1
6154,12,15,0,14,1
6155,0,0,2,15,1
6156,4,6,3,13,1
6157,9,9,5,20,1
6158,9,5,1,19,1
6159,0,3,6,18,1
6160,3,8,4,19,1
6161,11,9,3,18,1
6162,3,9,2,17,1
6163,7,7,4,16,1
6164,0,4,4,12,1
6165,0,5,0,17,1
6166,0,4,1,16,1
6167,0,0,5,20,1
6168,0,3,3,13,1
6169,0,9,3,16,1
6170,4,7,2,18,1
6171,0,0,4,17,1
6172,4,0,5,16,1
6173,0,0,5,14,1
6174,0,8,1,16,1
6175,0,0,6,12,1
6176,0,0,3,21,1
6177,2,7,1,16,1
6178,0,4,3,17,1
6179,0,6,1,15,1
6180,0,1,6,15,1
6181,0,3,4,13,1
6182,0,8,3,14,1
6183,0,0,1,26,1
6184,8,10,1,15,1
6185,0,0,8,16,1
6186,0,0,0,14,1
6187,7,9,1,23,1
6188,0,10,2,27,1
6189,0,6,2,20,1
6190,4,0,6,12,1
6191,0,0,4,13,1
6192,0,7,1,15,1
6193,0,0,6,14,1
6194,0,0,2,12,1
6195,7,10,1,23,1
6196,0,0,6,15,1
6197,0,0,1,20,1
6198,0,9,3,14,1
6199,0,0,3,16,1
6200,0,7,4,15,1
6201,3,6,2,21,1
6202,0,0,4,16,1
6203,0,0,1,16,1
6204,3,6,2,21,1
6205,0,0,5,18,1
6206,4,4,1,19,1
6207,8,8,2,17,1
6208,9,9,1,29,1
6209,9,10,0,20,1
6210,9,7,0,17,1
6211,10,10,1,18,1
6212,11,10,2,15,1
6213,12,15,2,22,1
6214,9,12,1,24,1
6215,12,15,1,21,1
6216,11,15,1,23,1
6217,9,8,1,23,1
6218,8,4,3,15,1
6219,11,10,2,14,1
6220,5,10,1,15,1
6221,9,10,5,19,1
6222,9,8,4,25,1
6223,9,10,1,21,1
6224,12,15,1,25,1
6225,10,15,3,28,1
6226,4,6,5,13,1
6227,9,12,1,15,1
6228,9,15,0,19,1
6229,9,12,4,16,1
6230,0,9,3,17,1
6231,5,12,1,23,1
6232,10,11,2,27,1
6233,9,15,2,25,1
6234,15,10,3,26,1
6235,8,12,2,16,1
6236,9,12,0,19,1
6237,0,4,3,14,1
6238,4,9,5,21,1
6239,6,8,4,19,1
6240,7,7,3,17,1
6241,9,9,5,13,1
6242,6,5,2,18,1
6243,9,9,5,13,1
6244,9,9,1,21,1
6245,7,8,3,18,1
6246,4,9,2,18,1
6247,9,8,3,19,1
6248,14,15,1,20,1
6249,4,9,2,18,1
6250,9,9,2,16,1
6251,5,0,2,15,1
6252,3,0,10,17,1
6253,4,1,2,17,1
6254,9,8,4,20,1
6255,0,4,3,14,1
6256,5,4,4,21,1
6257,4,15,3,18,1
6258,12,0,2,23,1
6259,5,4,2,19,1
6260,9,14,2,16,1
6261,4,8,5,15,1
6262,9,4,3,25,1
6263,9,13,2,20,1
6264,0,4,3,16,1
6265,0,0,5,23,1
6266,11,9,1,21,1
6267,9,3,3,19,1
6268,9,7,0,22,1
6269,7,9,3,19,1
6270,4,0,1,23,1
6271,9,10,4,18,1
6272,7,0,3,13,1
6273,0,9,5,16,1
6274,0,4,4,12,1
6275,14,10,1,27,1
6276,7,3,2,12,1
6277,0,0,6,17,1
6278,4,7,1,14,1
6279,0,0,3,19,1
6280,0,2,1,21,1
6281,10,17,0,15,1
6282,0,0,4,14,1
6283,0,0,8,16,1
6284,0,4,5,16,1
6285,0,4,6,15,1
6286,8,4,4,15,1
6287,2,0,5,14,1
6288,11,10,3,21,1
6289,0,0,10,13,1
6290,9,5,1,19,1
6291,5,8,0,19,1
6292,3,4,6,15,1
6293,0,0,5,13,1
6294,3,9,3,13,1
6295,0,0,4,15,1
6296,4,0,8,15,1
6297,0,0,2,19,1
6298,0,0,2,16,1
6299,3,0,2,16,1
6300,0,0,2,18,1
6301,0,4,9,15,1
6302,0,0,6,16,1
6303,8,10,2,16,1
6304,4,0,7,13,1
6305,3,0,5,16,1
6306,4,7,6,13,1
6307,6,0,1,16,1
6308,0,0,1,20,1
6309,8,7,3,14,1
6310,0,0,4,15,1
6311,10,13,0,14,1
6312,0,12,3,16,1
6313,0,0,4,14,1
6314,0,0,3,13,1
6315,0,0,3,15,1
6316,2,0,3,14,1
6317,0,3,6,15,1
6318,6,0,1,14,1
6319,0,0,6,17,1
6320,4,0,2,16,1
6321,0,4,3,14,1
6322,11,12,4,17,1
6323,9,10,2,18,1
6324,0,0,4,18,1
6325,0,0,2,14,1
6326,0,0,8,16,1
6327,2,4,6,13,1
6328,4,10,2,13,1
6329,0,0,5,14,1
6330,0,3,4,15,1
6331,0,0,4,14,1
6332,0,0,3,24,1
6333,6,0,5,16,1
6334,0,0,3,18,1
6335,0,0,4,14,1
6336,15,17,1,27,1
6337,0,0,0,16,1
6338,0,0,2,16,1
6339,9,8,1,20,1
6340,9,9,1,14,1
6341,9,0,2,22,1
6342,9,9,3,17,1
6343,6,9,5,12,1
6344,13,10,3,20,1
6345,0,0,4,13,1
6346,0,9,4,17,1
6347,7,9,5,17,1
6348,7,2,4,14,1
6349,9,6,3,16,1
6350,9,9,1,19,1
6351,9,9,2,27,1
6352,7,9,2,33,1
6353,0,0,2,17,1
6354,9,9,4,20,1
6355,0,4,3,21,1
6356,9,9,4,21,1
6357,8,9,1,17,1
6358,11,9,1,19,1
6359,11,12,1,17,1
6360,9,8,2,21,1
6361,8,0,3,16,1
6362,0,0,4,14,1
6363,6,7,1,18,1
6364,0,0,3,20,1
6365,0,0,2,25,1
6366,0,7,4,21,1
6367,0,4,6,14,1
6368,8,5,1,21,1
6369,7,9,3,14,1
6370,0,0,5,20,1
6371,0,3,3,16,1
6372,0,7,4,17,1
6373,0,2,3,18,1
6374,5,9,3,18,1
6375,8,9,1,17,1
6376,5,10,2,17,1
6377,9,15,0,18,1
6378,0,0,1,14,1
6379,0,5,3,20,1
6380,7,0,2,19,1
6381,5,8,0,19,1
6382,0,0,6,18,1
6383,0,0,2,34,1
6384,0,0,2,17,1
6385,4,3,1,23,1
6386,0,1,8,15,1
6387,6,9,2,16,1
6388,5,9,5,15,1
6389,6,0,2,15,1
6390,7,0,0,13,1
6391,0,0,5,14,1
6392,0,0,1,13,1
6393,0,0,9,13,1
6394,3,8,4,13,1
6395,0,0,5,14,1
6396,0,0,7,14,1
6397,4,7,3,12,1
6398,4,10,2,14,1
6399,0,0,0,21,1
6400,0,0,0,13,1
6401,0,0,0,12,1
