id,educ,peduc,kids,agem,rural
266,0,12,5,16,0
267,0,5,11,16,0
268,10,12,1,19,0
269,12,12,0,21,0
270,7,10,6,19,0
271,7,7,6,18,0
272,7,10,3,18,0
273,12,10,0,21,0
274,10,10,6,16,0
275,0,7,8,15,0
276,8,6,0,18,0
277,12,7,3,16,0
278,10,12,0,27,0
279,12,10,1,19,0
280,7,10,2,25,0
281,0,6,5,13,0
282,5,0,3,25,0
283,10,9,3,16,0
284,10,10,2,20,0
285,0,6,3,12,0
286,9,7,2,15,0
287,0,0,9,15,0
288,10,12,1,18,0
289,10,15,3,18,0
290,10,12,2,20,0
291,15,15,2,23,0
292,10,15,2,18,0
293,17,17,0,25,0
294,15,17,1,30,0
295,7,10,1,17,0
296,15,15,0,25,0
297,17,16,2,23,0
298,17,18,2,23,0
299,17,17,0,26,0
300,12,11,2,23,0
301,15,15,2,21,0
302,12,15,2,24,0
303,0,0,3,14,0
304,10,0,6,17,0
305,16,15,2,26,0
306,15,17,1,19,0
307,15,15,1,24,0
308,10,12,2,20,0
309,17,17,1,26,0
310,15,16,3,17,0
311,17,17,2,23,0
312,12,10,1,19,0
313,15,17,2,20,0
314,17,17,1,26,0
315,10,12,2,23,0
316,18,18,1,27,0
317,15,17,0,18,0
318,17,0,0,19,0
319,15,17,1,20,0
320,15,16,2,25,0
321,10,15,1,19,0
322,15,15,1,19,0
323,12,15,0,25,0
324,15,10,2,20,0
325,15,10,1,22,0
326,10,15,2,20,0
327,15,17,2,21,0
328,10,15,1,13,0
329,15,17,1,20,0
330,10,15,2,19,0
331,7,17,3,18,0
332,18,15,1,23,0
333,0,7,4,14,0
334,9,16,2,17,0
335,10,12,2,24,0
336,17,15,0,27,0
337,8,17,2,18,0
338,10,15,1,20,0
339,16,15,2,30,0
340,10,15,2,15,0
341,10,17,3,13,0
342,15,15,2,21,0
343,4,13,2,20,0
344,15,15,2,20,0
345,15,18,1,30,0
346,5,5,2,16,1
347,9,9,3,16,1
348,0,2,2,12,1
349,0,10,5,12,1
350,0,9,0,15,1
351,0,0,2,19,1
352,7,9,2,16,1
353,11,10,0,25,1
354,0,0,5,18,1
355,3,5,4,15,1
356,3,10,2,15,1
357,5,9,2,14,1
358,0,12,0,21,1
359,0,0,3,15,1
360,10,10,2,15,0
361,12,12,2,22,0
362,5,10,4,15,0
363,10,10,0,18,0
364,10,7,0,23,0
365,9,9,1,15,0
366,12,10,2,20,0
367,7,5,3,18,0
368,10,10,3,23,0
369,7,10,4,14,0
370,12,12,0,23,0
371,10,12,1,30,0
372,0,12,6,12,0
373,4,8,2,20,0
374,11,9,3,21,0
375,6,10,3,16,0
376,9,0,3,16,0
377,11,12,0,19,0
378,12,10,3,18,0
379,5,5,2,16,0
380,6,10,3,13,0
381,0,10,3,13,0
382,1,5,3,14,0
383,7,10,2,14,0
384,6,12,2,24,0
385,6,9,3,15,0
386,10,10,3,15,0
387,8,14,2,15,0
388,6,10,5,15,0
389,3,10,3,13,0
390,12,10,1,21,0
391,10,12,0,17,0
392,6,6,1,17,0
393,0,6,4,12,0
394,11,9,2,13,0
395,10,10,2,15,0
396,10,12,2,16,0
397,0,10,3,13,0
398,10,10,0,17,0
399,0,0,5,19,0
400,10,12,2,19,0
401,9,7,2,21,0
402,6,0,5,20,0
403,10,15,2,19,0
404,9,7,2,18,0
405,15,10,1,22,0
406,8,0,2,17,0
407,11,12,3,17,0
408,13,12,3,18,0
409,10,6,0,23,0
410,15,12,2,21,0
411,5,12,3,12,0
412,6,10,2,16,0
413,10,7,2,17,0
414,7,10,2,17,0
415,10,10,2,14,0
416,12,12,2,17,0
417,10,10,0,18,0
418,6,0,1,19,0
419,0,10,1,15,0
420,3,4,4,12,0
421,10,15,0,23,0
422,7,0,0,17,0
423,4,5,3,12,0
424,3,0,3,16,1
425,0,5,2,12,1
426,0,5,2,14,1
427,16,12,3,22,1
428,0,0,3,14,1
429,2,0,4,12,1
430,0,0,3,18,1
431,5,10,3,16,1
432,0,0,0,14,1
433,0,0,2,15,1
434,0,0,2,13,1
435,4,4,4,13,1
436,5,9,4,19,1
437,0,7,4,14,1
438,0,0,1,15,1
439,6,14,2,15,1
440,10,10,2,18,1
